zip_code,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,daylight,is_work_day
07310,2022-11-01,0.1796103575518711,0.4916373511832973,0.30965544628103486,0.17815529226528637,0.5520471510088374,0.35096081030701254,0.7788441343015278,0.831,0.06355140186915888,0.20829999999999999,0.0,0.0,15.7,-0.9138663522680582,0.04333018090785191,0.768,-1.5486191470119561,70.6,6.0,0.4,0.25,-0.8838354792076186,1
07310,2022-11-02,0.3367328302448846,0.29148755769491175,0.283066200173271,0.3186988248943806,0.38652823576701006,0.3279356111047012,0.19118912857531042,0.598,0.0,0.0,0.0,0.0,23.0,-0.40321748005961583,1.1470512996926254,0.068,0.5550733386942364,147.9,12.7,0.6,0.29,-0.9036084790907091,1
07310,2022-11-03,0.1544707619209886,-0.04876709123534334,0.030468362149512953,0.155668327044631,0.10514607985590407,0.10919621868274264,0.1089174277736401,0.643,0.0,0.0,0.0,0.0,10.3,-1.9082878402529206,1.6719918317975881,0.031,0.4741620892439985,145.6,12.6,0.6,0.33,-0.9231049335208891,1
07310,2022-11-04,0.38072712259892855,-0.002065472754720324,0.18335652726915608,0.35805101403052714,0.14376716007899687,0.24159111409603345,0.5849179824118758,0.792,0.0,0.0,0.0,0.0,18.8,-1.2901339423163847,1.5239316817166861,0.262,-0.4967729041588602,136.0,11.9,0.6,0.36,-0.9423248424981587,1
07310,2022-11-05,0.7075418658003959,0.8185486805476607,0.7018468263705534,0.6503815618990425,0.8223947125704888,0.6905824985411056,0.9433875359048685,0.746,0.0,0.0,0.0,0.0,28.0,-0.9676188651321052,1.0124511632554587,0.5920000000000001,0.5550733386942364,112.3,9.7,0.5,0.4,-0.9615447514754284,0
07310,2022-11-06,0.6258381800000291,0.9719968555554228,0.8148511223285505,0.5772989249319137,0.9492925475892229,0.7884395951509292,1.0550419869928498,0.7490000000000001,0.0,0.0,0.0,0.0,26.4,-1.128876403724245,0.8374709858871481,0.741,0.5550733386942364,56.6,5.1,0.3,0.44,-0.9804881149997877,0
07310,2022-11-07,0.7641059559698812,0.37154747509026614,0.854734991490196,0.7009772336455168,0.4527358018637411,0.8229773939543961,0.1324236280026887,0.488,0.0014018691588785048,0.0417,0.0,0.0,28.6,0.29556518717299046,0.8240109722434283,0.28800000000000003,0.5550733386942364,139.9,12.2,0.6,0.47,-0.9991549330712366,1
07310,2022-11-08,-0.41117013977386,-0.308961822770245,-0.36837032946694664,-0.3502883904201083,-0.325203099772847,-0.30525736695886235,-1.1310346343086786,0.35,0.0,0.0,0.0,0.0,31.1,0.24181267430894354,2.3315325003396867,0.095,0.5550733386942364,141.0,12.2,0.6,0.5,-1.0175452056897751,1
07310,2022-11-09,-0.7254150851598871,-0.822679626057101,-0.7206778403948191,-0.6313754556782968,-0.8217598454983288,-0.6794168539964226,-0.8783429818464054,0.501,0.0,0.0,0.0,0.0,21.1,0.5912040079252467,2.735332909651187,0.051,0.5550733386942364,136.7,11.6,0.6,0.54,-1.0357972055818587,1
07310,2022-11-10,0.13561606519782715,-0.35566344125086796,-0.11577249144318862,0.13880310312913982,-0.20933985910356787,-0.03471127633170363,0.09128777760185332,0.679,0.0,0.0,0.0,0.0,16.6,-0.9676188651321052,1.577771736291565,0.092,0.5550733386942364,130.4,11.3,0.5,0.57,-1.0537726600210318,1
07310,2022-11-11,0.2487442455367967,0.4516073924856206,0.3960704961312676,0.23999444662208752,0.5189433679604722,0.42579270771452443,0.9375109858476062,0.867,0.39158878504672895,0.4167,0.0,0.0,36.5,-0.6719800443798488,-0.21241007832276187,0.961,-1.7104416459124325,28.5,2.5,0.2,0.6,-1.0716098417337496,0
07310,2022-11-12,0.29902343679856086,0.6984588044546292,0.6087844649933791,0.2849683770633975,0.7230833634253923,0.6099943013330154,0.7318317338434301,0.696,0.02710280373831776,0.16670000000000001,0.0,0.0,34.7,0.45682272576513017,-1.8006916882813235,0.7490000000000001,-0.011305407457431596,105.4,9.0,0.6,0.64,-1.0891704779935572,0
07310,2022-11-13,-0.2477627681731259,-0.6358731521346079,-0.46808000237106157,-0.2041231164858502,-0.5789987698103155,-0.4203833629704194,-0.30244107623471206,0.6409999999999999,0.02009345794392523,0.2917,0.0,0.0,28.0,2.7413045224871104,-0.535450405771959,0.7909999999999999,0.5550733386942364,69.4,6.0,0.5,0.67,-1.1064545688004543,0
07310,2022-11-14,-1.2533465934084123,-0.9627844814989709,-1.1261638435382197,-1.2553887405514748,-1.064520921186342,-1.1859712364472736,-1.2191828851676112,0.491,0.0,0.0,0.0,0.0,24.2,0.6180802643572699,1.335491490704671,0.129,0.5550733386942364,129.2,11.0,0.6,0.7,-1.1234621141544412,1
07310,2022-11-15,-1.2093523010543683,-1.0962176771578946,-1.1859896472806886,-1.2216582927204926,-1.0755555155357972,-1.2262653350513184,-0.9782443328198622,0.609,0.19299065420560746,0.20829999999999999,0.0,0.0,29.8,0.18806016144489715,1.698911859084997,0.7070000000000001,-0.17312790635790734,50.3,4.3,0.3,0.73,-1.1400548413290625,1
07310,2022-11-16,-0.9139620523915032,-0.8093363064912089,-0.893507940095285,-0.8000276948332099,-0.9045193031192424,-0.9787444436264711,-0.46698447783805314,0.737,0.19018691588785044,0.375,0.0,0.0,31.1,0.429946469333107,-0.3739302420473528,0.838,-1.0631516503105267,91.5,7.9,0.5,0.75,-1.1566475685036837,1
