date,total_length,number_of_rides,zip_code
2023-06-11,3203,166,07030
2023-06-12,740,86,07030
2023-06-13,1322,112,07030
2023-06-14,861,99,07030
2023-06-15,1232,116,07030
2023-06-16,1146,103,07030
2023-06-17,2695,108,07030
2023-06-18,2478,126,07030
2023-06-19,3289,144,07030
2023-06-20,1129,114,07030
2023-06-21,1429,111,07030
2023-06-22,1100,103,07030
2023-06-23,1281,86,07030
2023-06-24,2233,123,07030
2023-06-25,4327,177,07030
2023-06-26,994,83,07030
2023-06-27,884,105,07030
2023-06-28,1413,124,07030
2023-06-29,7465,140,07030
2023-06-30,1722,109,07030
2023-07-01,2255,117,07030
2023-07-02,3432,99,07030
2023-07-03,1822,112,07030
2023-07-04,2033,126,07030
2023-07-05,2421,124,07030
2023-07-06,1232,110,07030
2023-07-07,2296,149,07030
2023-07-08,3384,177,07030
2023-07-09,2872,84,07030
2023-07-10,1518,126,07030
2023-07-11,1453,134,07030
2023-07-12,2978,134,07030
2023-07-13,1171,112,07030
2023-07-14,1352,113,07030
2023-07-15,3818,121,07030
2023-07-16,994,70,07030
2023-07-17,1746,115,07030
2023-07-18,1504,123,07030
2023-07-19,1365,122,07030
2023-07-20,1874,118,07030
2023-07-21,1949,136,07030
2023-07-22,5960,219,07030
2023-07-23,2830,151,07030
2023-07-24,1323,132,07030
2023-07-25,1294,117,07030
2023-07-26,1504,136,07030
2023-07-27,1290,114,07030
2023-07-28,2023,120,07030
2023-07-29,2970,136,07030
2023-07-30,3764,192,07030
2023-07-31,2787,102,07030
2023-08-01,1343,115,07030
2023-08-02,1405,125,07030
2023-08-03,1584,131,07030
2023-08-04,1481,115,07030
2023-08-05,2505,152,07030
2023-08-06,5518,197,07030
2023-08-07,1162,104,07030
2023-08-08,1539,122,07030
2023-08-09,1294,117,07030
2023-08-10,643,71,07030
2023-08-11,3570,129,07030
2023-08-12,4008,160,07030
2023-08-13,3030,141,07030
2023-08-14,1453,114,07030
2023-08-15,950,111,07030
2023-08-16,1252,110,07030
2023-08-17,1413,117,07030
2023-08-18,3197,136,07030
2023-08-19,3614,156,07030
2023-08-20,4556,162,07030
2023-08-21,1174,122,07030
2023-08-22,1171,121,07030
2023-08-23,991,115,07030
2023-08-24,821,79,07030
2023-08-25,1594,101,07030
2023-08-26,2000,135,07030
2023-08-27,3452,164,07030
2023-08-28,1459,109,07030
2023-08-29,1146,108,07030
2023-08-30,1017,95,07030
2023-08-31,1779,136,07030
2023-09-01,2440,123,07030
2023-09-02,2389,116,07030
2023-09-03,3986,173,07030
2023-09-04,2020,136,07030
2023-09-05,910,93,07030
2023-09-06,1099,103,07030
2023-09-07,1226,134,07030
2023-09-08,1274,87,07030
2023-09-09,1084,91,07030
2023-09-10,1142,74,07030
2023-09-11,1108,110,07030
2023-09-12,1170,127,07030
2023-09-13,962,105,07030
2023-09-14,1074,122,07030
2023-09-15,1123,123,07030
2023-09-16,1914,108,07030
2023-09-17,1844,104,07030
2023-09-18,392,54,07030
2023-09-19,1418,120,07030
2023-09-20,1105,115,07030
2023-09-21,1065,121,07030
2023-09-22,3754,97,07030
2023-09-23,302,38,07030
2023-09-24,150,17,07030
