date,total_length,number_of_rides,zip_code,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,daylight,is_work_day
2022-12-31,236.0,23.0,07310,54.8,49.8,52.2,54.8,48.2,52.1,49.0,0.89,0.259,0.375,0.0,0.0,11.4,6.4,1015.6,0.915,4.4,14.1,1.1,0.1,33490,0
2023-03-15,354.0,47.0,07310,45.1,34.3,38.7,38.1,24.1,30.0,19.7,0.47,0.0,0.0,0.0,0.0,41.3,22.1,1009.0,0.267,9.9,214.9,18.7,0.8,42882,1
2023-02-05,409.0,26.0,07302,48.9,26.8,38.3,48.9,17.3,33.6,21.1,0.509,0.0,0.0,0.0,0.0,41.4,11.3,1022.4,0.104,9.9,115.8,10.0,0.5,36974,0
2023-02-12,241.0,31.0,07310,46.6,36.5,41.5,46.6,32.6,38.6,24.4,0.511,0.007,0.0417,0.0,0.0,18.9,13.5,1018.0,0.287,9.9,69.9,6.0,0.3,37977,0
2022-11-09,582.0,58.0,07302,53.4,39.5,47.2,53.4,34.0,44.6,29.1,0.503,0.0,0.0,0.0,0.0,21.6,13.9,1036.3,0.07,9.9,136.7,11.6,0.6,36454,1
2023-09-23,194.0,19.0,07302,64.0,59.4,61.2,64.0,59.4,61.2,56.0,0.8340000000000001,0.229,0.7082999999999999,0.0,0.0,33.7,21.3,1020.2,0.8420000000000001,7.4,31.8,2.8,0.2,43661,0
2023-03-12,436.0,41.0,07310,47.0,34.8,40.5,44.7,29.3,36.7,26.9,0.594,0.0,0.0,0.0,0.0,31.1,7.9,1016.5,0.17,9.9,155.2,12.9,0.5,42393,0
2023-08-26,1090.0,83.0,07302,85.5,73.5,77.9,86.9,73.5,78.8,68.8,0.752,0.058,0.125,0.0,0.0,19.7,9.4,1010.3,0.541,9.2,0.0,0.0,0.0,48076,0
2023-06-24,540.0,57.0,07310,78.7,68.4,72.8,78.7,68.4,72.8,68.0,0.856,0.064,0.2082999999999999,0.0,0.0,16.1,9.8,1011.1,0.731,7.8,159.6,13.9,0.6,54327,0
2023-03-27,221.0,29.0,07302,57.9,44.9,50.7,57.9,38.8,49.1,29.6,0.476,0.067,0.1667,0.0,0.0,20.8,13.3,1016.2,0.423,9.8,173.8,15.1,0.8,44840,1
